Hanja,mean,sound,meanFiveElements,soundFiveElements
沖,"화할,빌,찌를, 비다, 공허하다, 깊다, 온화하다, 높이 날다, 어리다, 부딪치다 좋지않은 의미 문자 ",충,수,금토
淋,"물뿌릴,임질, 임질, 물을 뿌리다, 장마, 젖다, 잠기다 좋지않은 의미 문자 ",림,수,화수
蜉,"하루살이, 하루살이 , 왕개미 좋지않은 의미 문자 ",부,수,수
魋,"몽치 머리,몽둥이, 몽치 머리 , 퇴곰 , 사람 이름 좋지않은 의미 문자 ",추,화,금
惰,"게으를, 게으르다, 태만하다, 사투리 좋지않은 의미 문자 ",타,화,화
炙,"구울, 굽다, 고기구이, 가까이 하다 좋지않은 의미 문자 ",적,화,금목
儳,"어긋날, 어긋나다, 빠르다, 경솔하다 , 섞다 , 말참견하다 좋지않은 의미 문자 ",참,화,금수
睽,"사팔눈(사시), 사팔눈, 움푹 들어간 모양 , 규괘 좋지않은 의미 문자 ",규,목,목
膰,"제사 고기, 제사고기 , 제육 , 간 , 음복하다 좋지않은 의미 문자 ",번,수,수화
貸,"빌, 빌리다 , 꾸다 , 주다 , 용서하다 , 느슨하다, 빌린 금품 , 틀리 좋지않은 의미 문자 ",대,금,화
燋,"그을릴, 그을리다 , 까칠하다, 횃불 , 귀갑을 태우는 데 쓰는 나무 좋지않은 의미 문자 ",초,화,금
癱,"중풍, 중풍 , 마비증 , 마비되다 , 뻣뻣하다 , 사지 좋지않은 의미 문자 ",탄,수,화
傷,"상할, 상처, 상하다, 다치다, 해치다, 근심하다, 불쌍히 여기다 좋지않은 의미 문자 ",상,화,금토
糠,"겨(곡식껍질), 겨 좋지않은 의미 문자 ",강,목,목토
帉,"걸레, 걸레 , 행주 좋지않은 의미 문자 ",분,목,수화
癎,"간질, 경풍 좋지않은 의미 문자 ",간,수,목화
嫖,"날랠,음탕할, 날래다 , 재빠르다 , 음탕하다 , 기생에게 빠지다 좋지않은 의미 문자 ",표,토,수
撝,"찢을, 찢다, 가리키다 , 휘두르다 좋지않은 의미 문자 ",휘,목,토
撑,"버틸, 버티다 , 취하다 좋지않은 의미 문자 ",탱,목,화토
埭,"둑, 둑(언덕) , 보(수리 시설) 좋지않은 의미 문자 ",태,토,화
銋,"젖을, 젖다 , 배어들다 , 굽다 , 구부러지다 좋지않은 의미 문자 ",임,금,토수
肺,"허파, 허파 좋지않은 의미 문자 ",폐,수,수
誚,"꾸짖을, 꾸짖다 , 책망하다 좋지않은 의미 문자 ",초,금,금
黲,"검푸르죽죽할, 검푸르죽죽하다 , 검다 , 엷게 푸르다 , 썩다 , 상하다 좋지않은 의미 문자 ",참,수,금수
廖,"텅 빌, 텅 비다 , 공허하다 , 쓸쓸하다 , 하늘 , 사람 이름 , 성의 하나 좋지않은 의미 문자 ",요,목,토
煞,"죽일, 죽이다, 총괄하다, 결속하다, 단속하다, 수효가 많다 좋지않은 의미 문자 ",살,화,금화
瑱,"누를, 귀막이 옥 , 귀 장 좋지않은 의미 문자 ",진,금,금화
竊,"훔칠, 훔치다, 도둑질, 도둑, 몰래 좋지않은 의미 문자 ",절,수,금화
臣,"신하, 신하, 신하로 삼다 좋지않은 의미 문자 ",신,화,금화
髰,"머리 깎을, 머리 깎다 , 털 깎다 , 땋은 머리 좋지않은 의미 문자 ",체,화,금
奈,"어찌,지옥, 어찌 좋지않은 의미 문자 ",내,화,화
另,"헤어질, 헤어지다 , 별거하다 , 따로 , 별다른 좋지않은 의미 문자 ",령,수,화토
廥,"여물광, 여물광 , 곳간, 저장하다 , 여물광 좋지않은 의미 문자 ",괴,목,목
岔,"갈림길, 갈림길 , 돌리다, 어긋나다 , 산이 높다 , 산이 높은 모양 좋지않은 의미 문자 ",차,토,금
膽,"쓸개, 겁이 없고 용감한 기운 , 마음 , 배짱, 품은 뜻 , 담대하다 좋지않은 의미 문자 ",담,수,화수
洟,"콧물, 콧물 , 눈물 , 콧물을 흘리다 , 눈물을 흘리다 , 콧물 , 눈물 , 콧 좋지않은 의미 문자 ",이,수,토
蜚,"바퀴, 바퀴, 쌕새기, 날다 좋지않은 의미 문자 ",비,수,수
緖,"실끝, 실마리, 첫머리, 시초, 차례, 순서 좋지않은 의미 문자 ",서,목,금
難,"어려울, 어렵다, 괴로워하다, 근심하다, 재앙 난리, 나무라다 좋지않은 의미 문자 ",난,화,화
誘,"꾈, 꾀다, 달래다, 꾐 좋지않은 의미 문자 ",유,금,토
乬,"걸(매달다), 걸다, 걸어 두다 좋지않은 의미 문자 ",걸,목,목화
偃,"쓰러질, 쓰러지다, 쏠리다, 눕다, 눕히다, 쉬다, 교만하다, 뒷간 좋지않은 의미 문자 ",언,화,토화
嶫,"험준할, 험준하다 , 산의 높은 모양 좋지않은 의미 문자 ",업,토,토수
